Code,Description,Active
"4742",Railroad Car Rental With Serv(1977),false
"4743",Legacy Docket Conv,false
"4783",Packing And Crating,true
"4785",Inspection & Fixed Facilities,true
"4789",Transportation Services,true
"4812",Radiotelephone Communications,true
"4813","Telephone Communications, Except Radio",true
"4822",Telegraph & Other Communications,true
"4832",Radio Broadcasting Stations,true
"4833",Television Broadcasting Stations,true
"4841",Cable And Other Pay TV Services,true
"4899",Communications Services,true
"4910",Legacy Docket Conv,false
"4911",Electric Services,true
"4922",Natural Gas Transmission,true
"4923",Gas Transmission And Distribution,true
"4924",Natural Gas Distribution,true
"4925",Gas Production And/Or Distribution,true
"4930",Legacy Docket Conv,false
"4931",Electric And Other Services Combined,true
"4932",Gas And Other Services Combined,true
"4939",Combination Utilities,true
"4940",Legacy Docket Conv,false
"4941",Water Supply,true
"4950",Legacy Docket Conv,false
"4952",Sewerage Systems,true
"4953",Refuse Systems,true
"4959",Sanitary Services,true
"4961",Steam And Air-Conditioning Supply,true
"4971",Irrigation Systems,true
"5012",Automobiles And Other Motor Vehicles,true
"5013",Motor Vehicle Supplies And New Parts,true
"5014",Tires And Tubes,true
"5015","Motor Vehicle Parts, Used",true
"5021",Furniture,true
"5023",Homefurnishings,true
"5031","Lumber, Plywood, And Millwork",true
"5032","Brick, Stone, & Related Materials",true
"5033","Roofing, Siding, & Insulation",true
"5039",Construction Materials,true
"5043",Photographic Equipment and Supplies - Wholesale Distribution,true
"5044",Office Equipment,true
"5045","Computers, Peripherals & Software",true
"5046",Commercial Equipment,true
"5047",Medical And Hospital Equipment,true
"5048",Ophthalmic Goods - Wholesale Distribution,true
"5049",Professional Equipment,true
"5051",Metals Service Centers And Offices,true
"5052",Coal And Other Minerals And Ores,true
"5063",Electrical Apparatus And Equipment,true
"5064","Electrical Appliances, TV & Radios",true
"5065",Electronic Parts And Equipment,true
"5072",Wholesale Trade - Hardware,true
"5074",Plumbing & Hydronic Heating Supplies,true
"5075",Warm Air Heating & Air-Conditioning,true
"5078",Refrigeration Equipment And Supplies,true
"5081",Legacy Docket Conv,false
"5082",Construction And Mining Machinery,true
"5083",Farm And Garden Machinery,true
"5084",Industrial Machinery And Equipment,true
"5085",Industrial Supplies,true
"5086",Legacy Docket Conv,false
"5087",Service Establishment Equipment,true
"5088",Transportation Equipment & Supplies,true
"5090",Legacy Docket Conv,false
"5091",Sporting & Recreational Goods,true
"5092",Toys And Hobby Goods And Supplies,true
"5093",Scrap And Waste Materials,true
"5094",Jewelry & Precious Stones,true
"5099",Durable Goods,true
"5111",Printing And Writing Paper,true
"5112",Stationery And Office Supplies,true
"5113",Industrial & Personal Service Paper,true
"5122","Drugs, Proprietaries, And Sundries",true
"5131",Piece Goods & Notions,true
"5136",Wholesale Trade - Men's and Boys' Clothing,true
"5137",Women's And Children's Clothing,true
"5139",Footwear,true
"5141","Groceries, General Line",true
"5142",Packaged Frozen Foods,true
